AMG KO	AMG KO name	Category
K02843	waaF, rfaF; heptosyltransferase II [EC:2.4.-.-]	Glycan biosynthesis and metabolism
K05535	MNN2; alpha 1,2-mannosyltransferase [EC:2.4.1.-]	Glycan biosynthesis and metabolism
K01724	PCBD, phhB; 4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]	Metabolism of cofactors and vitamins
K00737	MGAT3; beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]	Glycan biosynthesis and metabolism
K02377	TSTA3, fcl; GDP-L-fucose synthase [EC:1.1.1.271]	Carbohydrate metabolism
K08310	nudB, ntpA; dihydroneopterin triphosphate diphosphatase [EC:3.6.1.67]	Metabolism of cofactors and vitamins
K01061	E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]	Xenobiotics biodegradation and metabolism
K23083	kdoH2; 3-deoxy-D-manno-octulosonic acid-hydrolase	Glycan biosynthesis and metabolism
K00613	GATM; glycine amidinotransferase [EC:2.1.4.1]	Amino acid metabolism
K03274	gmhD, rfaD; ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]	Glycan biosynthesis and metabolism
K00952	nadM; nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1]	Metabolism of cofactors and vitamins
K09883	cobT; cobaltochelatase CobT [EC:6.6.1.2]	Metabolism of cofactors and vitamins
K03148	thiF; sulfur carrier protein ThiS adenylyltransferase [EC:2.7.7.73]	Metabolism of cofactors and vitamins
K03273	gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]	Glycan biosynthesis and metabolism
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	Carbohydrate metabolism
K00542	GAMT; guanidinoacetate N-methyltransferase [EC:2.1.1.2]	Amino acid metabolism
K13953	adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]	Carbohydrate metabolism
K01628	fucA; L-fuculose-phosphate aldolase [EC:4.1.2.17]	Carbohydrate metabolism
K00472	P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]	Amino acid metabolism
K09882	cobS; cobaltochelatase CobS [EC:6.6.1.2]	Metabolism of cofactors and vitamins
K03183	ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]	Metabolism of cofactors and vitamins
K00600	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]	Carbohydrate metabolism
K03636	moaD, cysO; sulfur-carrier protein	Folding, sorting and degradation
K10026	queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]	Metabolism of cofactors and vitamins
K01640	E4.1.3.4, HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]	Carbohydrate metabolism
K13017	wbpE, wlbC; UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98]	Carbohydrate metabolism
K16870	wbbL; N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]	Glycan biosynthesis and metabolism
K01491	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	Energy metabolism
